VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1       74.9       80.6       11         31       5051         10
  2      130.3       10.8       15        309       5329         10
  3       76.2       27.8       18        160       5180         10
  4      104.2      107.4       10          0       5018         10
  5      127.9       34.6       12        125       5145         10
  6      175.0       88.4       25        127       5147         10
  7       65.6       42.5       16        132       5152         10
  8      121.9       10.6       13        290       5310         10
  9      169.9       89.2        9        112       5132         10
 10       17.6       89.6        7        138       5158         10
 11       66.1       44.2       17        120       5140         10
 12       77.0      183.7       20        316       5336         10
 13       21.6       50.2       16        208       5228         10
 14      178.5       12.3       19        307       5327         10
 15      155.8       88.7       16         58       5078         10
 16      159.4      150.2        6        128       5148         10
 17       51.3      137.3        8         80       5100         10
 18       74.9      132.8       17         31       5051         10
 19       12.1       14.0        7        294       5314         10
 20       33.1       55.9       25        185       5205         10
 21      114.9      119.2       18         24       5044         10
 22      189.6      163.0        8        258       5278         10
 23       39.2       96.1       22        105       5125         10
 24       26.1      174.2       25        190       5210         10
 25      174.4       86.7       15        138       5158         10
 26      138.3       22.7        5        195       5215         10
 27      173.3       78.5        8        198       5218         10
 28       25.7      177.8        6        203       5223         10
 29      154.4      157.2       14        165       5185         10
 30      154.4       21.1        5        260       5280         10
 31      168.7      174.7        5        305       5325         10
 32       71.4      182.2        5        313       5333         10
 33      142.8       60.4       22        404       5424         10
 34       56.6       52.8       10        363       5383         10
 35       71.0       48.8        9        104       5124         10
 36      180.3       87.8        1        154       5174         10
 37      149.6      161.6        5        175       5195         10
 38      116.7       80.5       13         25       5045         10
 39      187.2       87.9       25        171       5191         10
 40      130.6       60.6       22         76       5096         10
 41      175.3      177.3        9        288       5308         10
 42       73.0      124.0       23         45       5065         10
 43       64.6       84.2       13         52       5072         10
 44      158.1      138.0       25         90       5110         10
 45       20.0      147.0       10        138       5158         10
 46      103.6       48.6       21         51       5071         10
 47       86.5      142.0       11         68       5088         10
 48       50.5       16.3        1        209       5229         10
 49      174.9      142.0       24        212       5232         10
 50       97.7       96.8       25          0       5013         10
 51       55.4      182.6       18        287       5307         10
 52       34.8      132.3        2        107       5127         10
 53      124.1       53.8       18         96       5116         10
 54      151.0      128.4       21         68       5088         10
 55       14.9      181.6       23        225       5245         10
 56      186.5      159.6       21        243       5263         10
 57       73.8      132.9       15         42       5062         10
 58      100.5       74.7       16         15       5035         10
 59      141.1       43.1        5        151       5171         10
 60       91.9       48.7       19         73       5093         10
 61      153.7      146.7        9        144       5164         10
 62      164.4      155.4       16        185       5205         10
 63      158.3       80.3       24         77       5097         10
 64      136.3       16.7        5        211       5231         10
 65      165.4      143.5       14        109       5129         10
 66      121.4      151.5       19         89       5109         10
 67      178.4      110.6       17        262       5282         10
 68       47.3      114.0       10        191       5211         10
 69       53.9      164.9       17        128       5148         10
 70      136.1      136.3        8         41       5061         10
 71      131.5      168.4       17        133       5153         10
 72      113.5      135.0       21         60       5080         10
 73      145.4       40.1        5        166       5186         10
 74       40.5      188.8        2        261       5281         10
 75      177.3      188.3        9        426       5446         10
 76       87.8      142.2       23        263       5283         10
 77      139.3      150.5       23        200       5220         10
 78      166.0       12.1        5        285       5305         10
 79      168.3       86.1        1         98       5118         10
 80      144.8       72.2       22        323       5343         10
 81       76.1       27.5       12        171       5191         10
 82      111.8       87.0       13          7       5027         10
 83      142.9      158.6       10        158       5178         10
 84       72.9      176.9        2        329       5349         10
 85       68.4      115.0       13         25       5045         10
 86       61.5      162.1       22        110       5130         10
 87      171.1      120.9       15        369       5389         10
 88       35.7       23.0       17        258       5278         10
 89      125.2       28.9       21        349       5369         10
 90       30.4       34.9       11        235       5255         10
 91      124.3      101.2       23         14       5034         10
 92      127.3       28.6       19        337       5357         10
 93      117.6      154.6        7        103       5123         10
 94      115.0      133.1       13         48       5068         10
 95       56.8       97.3       23         78       5098         10
 96      135.3       10.1       14        228       5248         10
 97      163.6      105.5       14        237       5257         10
 98      186.9       38.9       10        345       5365         10
 99      131.7       76.1       15         51       5071         10
100       46.4      154.0       21        151       5171         10
