VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1       36.3      122.5       15         69       5089         10
  2       59.9       68.0       25         69       5089         10
  3      152.6      145.2       23        103       5123         10
  4       56.8      123.9       18         39       5059         10
  5      158.6      172.0       14        285       5305         10
  6       34.6      122.2       19         81       5101         10
  7      160.0      116.3        6        225       5245         10
  8      128.1       68.0        5        270       5290         10
  9       27.4       36.9        5        513       5533         10
 10      178.5      168.3        1        224       5244         10
 11       45.6       68.7        4         93       5113         10
 12      172.4      138.7       19        275       5295         10
 13      133.1       57.4       24        249       5269         10
 14       99.6       26.9       18        430       5450         10
 15      160.0      131.3       17        250       5270         10
 16      173.9      158.0        8        182       5202         10
 17       66.1       42.9       12        136       5156         10
 18      154.2       53.4       21         72       5092         10
 19       37.2      141.4        1        129       5149         10
 20       26.5      180.3       21        226       5246         10
 21      183.0      131.7        8        308       5328         10
 22      136.8       74.5       16         34       5054         10
 23       13.4      106.6       13        311       5331         10
 24      156.2      133.8       19        125       5145         10
 25       78.8      128.7       18        408       5428         10
 26       25.9      129.5       14        103       5123         10
 27      152.8       13.9        4        365       5385         10
 28      148.6       37.0       21        332       5352         10
 29       98.3      138.6       25        376       5396         10
 30       56.8      155.9       18        163       5183         10
 31      166.5       62.3       19         97       5117         10
 32       31.4      165.1       19        200       5220         10
 33      118.1       56.6        7        224       5244         10
 34      185.3      179.7       10        247       5267         10
 35      180.4      132.9       21        295       5315         10
 36       17.9       37.7       15        532       5552         10
 37      134.7      127.8       10         45       5065         10
 38      184.9      158.8       11        203       5223         10
 39      189.2       59.5       21        130       5150         10
 40       87.6       57.5       20        183       5203         10
 41       45.8      105.9       20        354       5374         10
 42      132.7       44.9       16        304       5324         10
 43      110.7      138.4       10        354       5374         10
 44       60.6       97.7        7         29       5049         10
 45      182.6       85.8       16        167       5187         10
 46      162.9      158.1       10        161       5181         10
 47      117.3      120.4       24         16       5036         10
 48      175.6      101.1       23        194       5214         10
 49      134.8      148.2       15         76       5096         10
 50       73.7       44.0        5        154       5174         10
