VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1      120.2       38.1       14        271       5291         10
  2       84.4       26.2       14        204       5224         10
  3      104.0       36.4       22         66       5086         10
  4      109.0      125.9       12        236       5256         10
  5       66.2       27.3       11        232       5252         10
  6       86.7       39.2        4        128       5148         10
  7      148.7       22.5        5        254       5274         10
  8      116.1       92.1        9          7       5027         10
  9      130.0       20.6       11        176       5196         10
 10      106.2      106.8        2        167       5187         10
 11      102.2       21.6        1        336       5356         10
 12      134.1       32.4       17        103       5123         10
 13       72.0       89.9       21         63       5083         10
 14       84.2      110.9        3         33       5053         10
 15       88.7       29.4        9        189       5209         10
 16       59.3      108.9        8         97       5117         10
 17      105.1      102.5       14          0       5015         10
 18      110.6       46.0       14         45       5065         10
 19      125.2       29.9       17        251       5271         10
 20      112.6       16.0       22        132       5152         10
 21       58.8       91.3        6        102       5122         10
 22       68.9       29.2       10        219       5239         10
 23       87.4      113.9       22         47       5067         10
 24       71.0       34.0       13        158       5178         10
 25       74.9       22.0       15        246       5266         10
 26      112.2      105.3        1         36       5056         10
 27       61.1       63.3       13        150       5170         10
 28      130.3       31.9       11        144       5164         10
 29      127.4       23.9       11        162       5182         10
 30      113.2       21.9       25        104       5124         10
 31       88.7       38.1       11        140       5160         10
 32      121.0       14.0        3        162       5182         10
 33       89.6       68.1       15         47       5067         10
 34       92.0       49.5       15         94       5114         10
 35       57.6        6.7       23        325       5345         10
 36       70.9       38.2        8        172       5192         10
 37       79.1       59.1        3         71       5091         10
 38      109.1       95.9        3        145       5165         10
 39      127.0      112.2       12         84       5104         10
 40       93.0       29.7        3        175       5195         10
 41      139.4       21.6        3        222       5242         10
 42       98.3       89.4       13         11       5031         10
 43       61.2       74.4        7        129       5149         10
 44      135.8       29.1       14        116       5136         10
 45      160.0        5.1       22        285       5305         10
 46      120.6      105.2       15         64       5084         10
 47       80.1       34.5        5        300       5320         10
 48      100.3       93.2        4          0       5016         10
 49       83.1       22.9       20        218       5238         10
 50       97.6       79.8       14         43       5063         10
 51       62.8       58.1       13        177       5197         10
 52       85.3       42.5        3        114       5134         10
 53       90.8       72.6        4         18       5038         10
 54      131.4       20.3       18        188       5208         10
 55       82.3       86.8       22        271       5291         10
 56       69.4       25.1       13        246       5266         10
 57       71.3       95.3       20         79       5099         10
 58       75.1       27.3       21        262       5282         10
 59       88.8      109.4        2          4       5024         10
 60       86.6       71.0       13         33       5053         10
 61      116.3       17.4       19        146       5166         10
 62      133.3       41.3       23         71       5091         10
 63       69.6       39.7       16        184       5204         10
 64       79.6       11.8        4        267       5287         10
 65       82.1       50.2        5        104       5124         10
 66      114.1       97.6       14        113       5133         10
 67      105.7       20.2       13        220       5240         10
 68      113.3       -0.2       22        188       5208         10
 69      107.0      100.7       13          8       5028         10
 70      136.9       39.3       20         85       5105         10
 71      133.5       28.3        5        129       5149         10
 72       91.3       97.5       15          0       5019         10
 73       67.7        7.2       12        305       5325         10
 74       77.7       34.5       11        142       5162         10
 75       94.6       80.8        3         30       5050         10
 76       97.1      107.3       21        204       5224         10
 77       59.2       38.0        3        207       5227         10
 78      112.8       27.7       15         89       5109         10
 79       64.4       35.3       11        201       5221         10
 80      145.2       26.0       14        239       5259         10
 81      140.3        3.5       11        315       5335         10
 82       75.5       38.3        5        127       5147         10
 83       86.7      106.5        5         18       5038         10
 84       75.7       28.0        1        273       5293         10
 85      113.5      105.9        2         47       5067         10
 86      115.9       93.2       23        128       5148         10
 87       78.0      108.7       14         68       5088         10
 88       76.5       88.4       22         49       5069         10
 89       63.8       61.7       16        163       5183         10
 90       77.9       50.6        5         89       5109         10
 91       82.1       22.2       24        229       5249         10
 92       97.1       71.6       18         61       5081         10
 93      110.7       20.2        6        117       5137         10
 94       79.2       94.0       16         21       5041         10
 95      131.1       16.0        4        202       5222         10
 96       77.9       88.1       17         37       5057         10
 97       94.4       38.9        8        155       5175         10
 98      106.4      113.4        9        183       5203         10
 99       79.6      123.4       24        276       5296         10
100      110.9      101.7       18         22       5042         10
