VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1       76.8       66.4       21        249       5269         10
  2       48.6      116.2        9         75       5095         10
  3       51.4      106.1        1         38       5058         10
  4       62.0       76.4        3         55       5075         10
  5       35.1      124.4        2        203       5223         10
  6       42.6      121.7        9        117       5137         10
  7       60.4       53.8       16        169       5189         10
  8       53.0       72.3       12         86       5106         10
  9       31.2       96.6       24        271       5291         10
 10       46.2       51.6        5        205       5225         10
 11       47.5      114.3        4         88       5108         10
 12       88.6       87.4        2          6       5026         10
 13       35.0      103.3       24         75       5095         10
 14       57.3       72.8       23         71       5091         10
 15       74.3       83.5        4         20       5040         10
 16       63.8      122.8        4        317       5337         10
 17       43.0      122.3       17        127       5147         10
 18       63.0       93.4       16        229       5249         10
 19       52.1       81.4        7        116       5136         10
 20       35.9      114.5       15         96       5116         10
 21       70.6      109.7       12         21       5041         10
 22       71.0       73.5       24         49       5069         10
 23       65.5      116.0        3         49       5069         10
 24       66.2       64.4       12         97       5117         10
 25       48.0      134.1       19        346       5366         10
 26       27.5      121.9       24        221       5241         10
 27       40.7      133.6        7        162       5182         10
 28       43.8       82.7       17        171       5191         10
 29       50.7       62.2       13        136       5156         10
 30       45.9       70.9       12        149       5169         10
 31       57.4       50.0       18        184       5204         10
 32       58.2       68.6       11        116       5136         10
 33       50.2      106.0       23         50       5070         10
 34       42.7      121.0        4        106       5126         10
 35       27.4      121.7       13        232       5252         10
 36       69.9       70.3       14         62       5082         10
 37       39.4      132.8       19        174       5194         10
 38       54.3       58.4       18        151       5171         10
 39       61.2       84.9       22        210       5230         10
 40       66.1       73.9        8         78       5098         10
 41       69.4      111.3        6         32       5052         10
 42       27.4      131.3       16        251       5271         10
 43       48.4       77.2        4        132       5152         10
 44       35.1      116.0       24        108       5128         10
 45       49.3       87.5       19        188       5208         10
 46       55.0       78.3       14        102       5122         10
 47       78.6       80.5       11         29       5049         10
 48       36.5      127.4       21        190       5210         10
 49       46.4      129.4       23        145       5165         10
 50       73.2       80.1       14         34       5054         10
