VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1      159.1       21.9       13        320        400         10
  2       52.8       64.1       25         62        142         10
  3      181.3       36.1       13        164        244         10
  4      188.8       35.0       25        182        262         10
  5      173.0       36.0        6        224        304         10
  6       35.3       69.1        8         91        171         10
  7      185.4       42.7       25        200        280         10
  8      179.3       25.4       17        270        350         10
  9       44.7       85.7       25        169        249         10
 10      165.1       35.1       23        242        322         10
 11      168.3       49.2        3        102        182         10
 12      156.3       45.4       23         68        148         10
 13       39.2       89.0       22        153        233         10
 14      166.7       45.9       16         88        168         10
 15      179.9       38.3       21        152        232         10
 16      162.4       36.4       17        345        425         10
 17      149.6       25.7       24        300        380         10
 18      181.3       41.8        8        138        218         10
 19      178.3       41.0       15        125        205         10
 20       59.0       61.5       12         46        126         10
 21       29.7       69.9       19        121        201         10
 22       33.6       73.9        7        106        186         10
 23       44.0      110.9       13         47        127         10
 24      174.3       25.3       14        371        451         10
 25      179.9       16.7        6        391        471         10
