VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1      196.1      115.2        3        291       5311         10
  2       75.1       82.8       17         80       5100         10
  3      157.3      103.4       21        185       5205         10
  4       92.2       78.7        7         12       5032         10
  5      172.5       92.7       21        334       5354         10
  6      168.0      105.7       15        216       5236         10
  7      171.4      117.9        3        106       5126         10
  8      149.1      131.7       23         48       5068         10
  9      171.6      123.5       16        121       5141         10
 10      170.9      107.4       10        229       5249         10
 11      166.7      117.1       22         91       5111         10
 12      168.5      111.8        7        162       5182         10
 13      166.9      135.4       25        213       5233         10
 14      154.8       93.1        4        361       5381         10
 15       73.6       78.8       16         56       5076         10
 16      185.7      128.5       24        243       5263         10
 17      193.4      107.6        1        273       5293         10
 18      152.4      101.7       11        170       5190         10
 19      183.9      111.3       24        253       5273         10
 20      163.1      110.3        5        178       5198         10
 21       79.1       71.8        7         37       5057         10
 22      167.0      105.8       17        205       5225         10
 23      162.3      120.1       22         76       5096         10
 24      178.7      117.6       20        140       5160         10
 25       73.9       80.7       25         68       5088         10
