VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1      196.1      115.2       21        300       5320         10
  2       33.2       30.1       19        555       5575         10
  3      161.2      125.3       12        212       5232         10
  4       84.5      116.6       24         12       5032         10
  5       92.2       78.7        3         24       5044         10
  6      123.8       61.6        2        148       5168         10
  7      168.0      105.7       23        257       5277         10
  8       89.6       11.6       24        486       5506         10
  9      158.9      110.1       17        253       5273         10
 10      151.3      144.7       22        181       5201         10
 11       82.2       82.0       15         44       5064         10
 12      174.5       20.3       11        391       5411         10
 13      166.7      117.1        5        232       5252         10
 14       79.0      151.5       13         57       5077         10
 15      169.9       96.1       18        277       5297         10
 16      136.5       94.9       13        194       5214         10
 17       94.6       79.0        4         11       5031         10
 18       19.7       93.4       17        630       5650         10
 19      183.5       99.3       16        301       5321         10
 20      187.9      173.1       11        369       5389         10
 21      152.4      101.7        2        231       5251         10
 22       91.5      181.8       12        100       5120         10
 23       68.1       78.8       11         69       5089         10
 24      147.8       99.4        3        216       5236         10
 25       96.6       62.9        3        111       5131         10
