VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1       34.8      106.3       14        420        500         10
  2       53.1       53.8       22         85        165         10
  3       12.5       96.2        5        192        272         10
  4      176.4       55.4       25        196        276         10
  5      155.5       13.0       24        226        306         10
  6      122.5       61.0       11         64        144         10
  7       77.3       77.6       24         31        111         10
  8      127.2       83.8        7         31        111         10
  9      172.8       33.6        6        189        269         10
 10      101.5       33.7       20        361        441         10
 11       60.0       40.1       18        305        385         10
 12      172.4       77.4       18        163        243         10
 13      106.6      131.1        7         31        111         10
 14       79.5      148.3       18        129        209         10
 15      129.6      118.5       19         44        124         10
 16      159.8      112.6       15        116        196         10
 17      141.2      119.1        6         65        145         10
 18       67.8      164.4       24        159        239         10
 19       92.5      157.1       15        103        183         10
 20      102.3      111.3       12          1         81         10
 21      115.8      188.0       10        232        312         10
 22       18.5      100.3       15        447        527         10
 23       18.1      153.1        9        510        590         10
 24      150.7       59.1       16        295        375         10
 25       93.0       93.3       18          0         79         10
 26       48.2       65.6       24        108        188         10
 27      169.9      170.5       24        382        462         10
 28      150.1       37.2        3        144        224         10
 29      117.7       89.6       24         10         90         10
 30       92.2       47.3       15        348        428         10
 31      159.4      177.2       18        339        419         10
 32       26.1       27.0       10        428        508         10
 33       20.4       74.4       21        159        239         10
 34      171.0      181.4       12        361        441         10
 35       37.6       63.8        8        129        209         10
 36       68.5      110.0       21        376        456         10
 37      119.5      151.8        6         66        146         10
 38      113.7      123.7       20         17         97         10
 39      156.9      125.9        4         92        172         10
 40      105.5      182.8        1        211        291         10
 41      134.8       38.9       24        119        199         10
 42      160.5       40.3        8        165        245         10
 43      159.4      168.6       10        320        400         10
 44       60.1       62.4       13         64        144         10
 45       51.5       93.3       11        241        321         10
 46      182.1      172.1       24        404        484         10
 47       14.8       17.2        3        452        532         10
 48      123.4       37.8       21         98        178         10
 49      137.8      183.6       10        265        345         10
 50      145.8       52.1       20        277        357         10
