VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1      175.7      127.5        8        209        289         10
  2      175.6      169.1       24        325        405         10
  3       14.7      146.9       17        239        319         10
  4      120.3       53.7        4        426        506         10
  5      172.1      132.0        9        285        365         10
  6      177.1       10.2        2        602        682         10
  7       23.0      125.1       25        129        209         10
  8       88.6       41.1        1        322        402         10
  9      163.8      112.6       17        108        188         10
 10      147.4       78.1        7        328        408         10
 11      144.0      122.3        1         39        119         10
 12      114.9      173.9        6        316        396         10
 13      161.7      127.1       17        264        344         10
 14      188.0       68.2       20        250        330         10
 15      170.1      107.3       17        111        191         10
 16      183.4       54.3       20        274        354         10
 17       62.0      150.3       23         90        170         10
 18       61.0       35.9       12        177        257         10
 19       31.9      151.6       15        141        221         10
 20      125.8      155.8       12        181        261         10
 21      163.2      113.6       19         97        177         10
 22       99.7      171.5        7        269        349         10
 23      171.7      126.7        9        223        303         10
 24      137.0      174.6       12        149        229         10
 25      169.4      126.0        6        235        315         10
 26      113.2       34.1        6        385        465         10
 27      192.0      103.4       10        204        284         10
 28       18.6       26.6       17        241        321         10
 29       32.1      138.3        5        103        183         10
 30      148.2       37.9        4        552        632         10
 31      175.9      112.6        3        154        234         10
 32      140.1       13.3       15        516        596         10
 33      184.4      117.4       18        186        266         10
 34       22.0      107.4       15        157        237         10
 35      175.7      100.5        7        140        220         10
 36       60.2      122.8       15         35        115         10
 37      169.5      144.3       22        279        359         10
 38       75.5      131.7       24         30        110         10
 39       73.8      145.7       16         67        147         10
 40      172.5      189.6        4        356        436         10
 41       27.5      154.4        8        156        236         10
 42      176.3      158.1       25        304        384         10
 43       32.0      145.4       17        242        322         10
 44       26.0      161.4       20        215        295         10
 45      161.4      113.8       10         85        165         10
 46       10.2      110.6       14        179        259         10
 47      188.9      109.2        9        178        258         10
 48      100.0      163.3       17        288        368         10
 49      150.8      104.0        7         51        131         10
 50       79.9      137.1       18         47        127         10
 51      167.8      116.7       15        135        215         10
 52      136.5       15.3       22        502        582         10
 53      174.2      142.2       13        263        343         10
 54      172.2      140.3       24        251        331         10
 55       18.0      146.2        7        225        305         10
 56       82.7       69.2        5         35        115         10
 57      156.9       95.9        9         72        152         10
 58       58.3      167.8        6        207        287         10
 59       39.4      149.4       24        102        182         10
 60      151.5      109.0       13         64        144         10
 61      198.7      113.4       22        327        407         10
 62      132.3      133.0       19         46        126         10
 63      171.4      105.7       18        123        203         10
 64       58.5       84.3       21        103        183         10
 65       45.6      131.6       15         62        142         10
 66       75.4      174.7        7        235        315         10
 67       33.3      149.2        9        118        198         10
 68      114.7       96.5       10          5         85         10
 69       32.6      150.6        3        130        210         10
 70      150.3      140.1        3         76        156         10
 71      164.2      116.1        3        122        202         10
 72      152.4      159.2        4        117        197         10
 73      167.9      108.5       18         98        178         10
 74       67.0       85.6       25         84        164         10
 75      191.0      106.9       22        191        271         10
 76      116.2       39.7       23        401        481         10
 77      183.4      110.1       23        162        242         10
 78       40.7       28.3        4        209        289         10
 79       37.1      132.7       24         85        165         10
 80       66.6       72.6       20         61        141         10
 81      167.2      139.4        6        236        316         10
 82      130.6       34.4        6        458        538         10
 83      184.0      114.3       20        173        253         10
 84       53.9      139.7       22        168        248         10
 85       22.3      150.3       24        183        263         10
 86      120.3      115.0       17         15         95         10
 87      166.4      127.8        1        249        329         10
 88      127.5       20.8        1        482        562         10
 89       39.9      120.8       13         63        143         10
 90       49.5       49.0        2        149        229         10
 91       45.9      139.6        8         80        160         10
 92       26.4      152.5       15        168        248         10
 93       49.9      146.3       24        112        192         10
 94       78.7      106.7        2         12         92         10
 95       44.9      153.5        4        142        222         10
 96      102.0       20.3        4        357        437         10
 97       45.5      150.3       15        128        208         10
 98      156.4      148.8       15         96        176         10
 99       22.6      155.3       23        198        278         10
100       91.7       88.4        4          4         84         10
