VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1       77.7       68.3       23         53       5073         10
  2      175.8      110.7        9        526       5546         10
  3       69.6       10.7       17        266       5286         10
  4       32.9       67.4       13        163       5183         10
  5       81.8       65.8       13         38       5058         10
  6      124.1       84.5       19        459       5479         10
  7      116.6       21.6        2        335       5355         10
  8      168.8      134.9       21        117       5137         10
  9      136.1      153.4       10         70       5090         10
 10      128.1      116.8       15         22       5042         10
 11      149.5       19.0        1        378       5398         10
 12       89.6       11.6       20        296       5316         10
 13       88.8       74.8        4         17       5037         10
 14      179.9      164.7       14        159       5179         10
 15       82.3       49.3       15         83       5103         10
 16       65.8      174.5       16        519       5539         10
 17       20.3      113.5        3        395       5415         10
 18       57.6       43.5       25        118       5138         10
 19       79.0      151.5        2        271       5291         10
 20       60.3      124.5       16        343       5363         10
 21       55.6      172.6        4        499       5519         10
 22       72.9      131.4        1        302       5322         10
 23       39.1       76.7       23        184       5204         10
 24       59.5      132.1       21        325       5345         10
 25       33.0      173.8       19        466       5486         10
