VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1       37.2       72.5       22        103        183         10
  2      176.8       27.8        9        454        534         10
  3       88.1      117.6       19        442        522         10
  4       49.9      134.2       11        380        460         10
  5      163.4      101.6       20        110        190         10
  6       69.1       38.4       21        290        370         10
  7       70.6      129.2       10        411        491         10
  8      188.8      148.4        3        174        254         10
  9      139.7      126.1        7         48        128         10
 10       10.8       23.5       17        220        300         10
 11       20.6      161.3        7        533        613         10
 12       69.2       90.4       10         41        121         10
 13      162.8      173.6        3        220        300         10
 14      168.2      109.1       24         91        171         10
 15      141.2       53.5       12        400        480         10
 16       64.5      159.9        1        340        420         10
 17      120.1      106.9       25         11         91         10
 18       16.4      167.2       20        550        630         10
 19       54.9       93.7       22         65        145         10
 20       85.4      169.3       17        307        387         10
 21       26.8       65.3        4        126        206         10
 22      101.7       71.4       18        347        427         10
 23      164.5       98.2       25        536        616         10
 24       16.0       79.8       19        154        234         10
 25       83.9       81.9       20         14         94         10
