VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1       54.7      109.8       24        230        310         10
  2      106.9       45.4        3        183        263         10
  3       25.0      104.3       21        107        187         10
  4       91.6       89.6       10          3         83         10
  5       36.3       72.9       20        178        258         10
  6       33.6      101.5        4         77        157         10
  7       31.9       92.7        2        127        207         10
  8      112.4       13.3       25        244        324         10
  9       40.8       54.8       13        249        329         10
 10       79.5      148.3       19        159        239         10
 11       23.9       91.9       13        145        225         10
 12      112.6      141.2       13         64        144         10
 13       31.8      127.0        1        305        385         10
 14       92.5      157.1       16        111        191         10
 15       27.7       40.2        6        318        398         10
 16       18.5      100.3        3        125        205         10
 17       38.4      102.9       24         62        142         10
 18      122.1       27.1       24        217        297         10
 19       32.6       60.4       13        229        309         10
 20       14.4      156.5       25        349        429         10
 21       43.8       79.0       21        198        278         10
 22      108.5      116.4        4         19         99         10
 23       71.6       34.8       23        136        216         10
 24       26.1       27.0       14        341        421         10
 25       45.1       95.0       19         72        152         10
 26       28.9      105.8       15         93        173         10
 27       38.8      115.7       15        282        362         10
 28      110.0      119.5        1         32        112         10
 29       43.2       51.2       11        264        344         10
 30      156.9      125.9       17        424        504         10
 31       39.6       98.9       21        108        188         10
 32      160.5       40.3       22        329        409         10
 33       49.1       99.0       12         88        168         10
 34       62.4       51.5        3         81        161         10
 35       71.4       63.2       19         46        126         10
 36      132.8       43.7        3        291        371         10
 37       53.5       53.9       24        100        180         10
 38      137.8      183.6        2        485        565         10
 39       49.7       89.4       12         55        135         10
 40      147.5      144.2       11        536        616         10
 41       50.4      125.5       10        256        336         10
 42      105.8      106.3       14          0         78         10
 43       63.8       54.3       25         68        148         10
 44       92.4      157.2        2        121        201         10
 45       57.5       83.3       12         35        115         10
 46      106.1      141.9        6         80        160         10
 47       48.9       56.4        4        282        362         10
 48       77.3      123.9       23        194        274         10
 49       50.5      105.6       10         39        119         10
 50       81.4      155.1        5        142        222         10
