VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1       76.8       66.4        4         84       5104         10
  2       14.8      108.0       13        127       5147         10
  3       27.1      104.1       19        104       5124         10
  4      116.3      128.1       24        478       5498         10
  5       74.1       72.9       16         41       5061         10
  6       85.8       57.1       15        107       5127         10
  7       42.6      121.7       21        125       5145         10
  8       95.3       72.4       22         18       5038         10
  9       53.0       72.3        4        239       5259         10
 10      179.1       45.0       19        220       5240         10
 11       46.2       51.6       21        182       5202         10
 12      152.1      162.9        9        418       5438         10
 13       42.7      114.8        7        152       5172         10
 14      180.3      183.0       18        529       5549         10
 15       40.2      109.2        9         61       5081         10
 16       13.4      106.6       12        139       5159         10
 17       74.3       83.5       23         20       5040         10
 18      105.2      180.3        5        345       5365         10
 19       63.8      122.8       13         56       5076         10
 20       37.0       98.3       13        334       5354         10
 21       63.0       93.4       13        298       5318         10
 22      166.5       62.3       12        189       5209         10
 23       35.6      116.1       23         79       5099         10
 24      174.4      132.9       16        416       5436         10
 25       70.6      109.7        3         21       5041         10
 26      132.9       17.9       15        284       5304         10
 27       66.1      134.7       20         78       5098         10
 28       11.9      156.3       19        239       5259         10
 29       73.9       71.3       19         52       5072         10
 30       87.6       57.5        3        119       5139         10
 31       53.0      111.0       12         38       5058         10
 32      145.4       96.6       15         83       5103         10
 33       40.7      133.6       10        192       5212         10
 34      182.6       85.8       11        151       5171         10
 35       50.7       62.2       23        203       5223         10
 36      175.6      101.1        3        124       5144         10
 37       57.4       50.0        7        160       5180         10
 38      157.3      150.2       21        450       5470         10
 39       58.2       68.6       10        223       5243         10
 40      179.8      158.0       25        484       5504         10
 41       42.7      121.0       13        136       5156         10
 42       51.7       81.7        4        259       5279         10
 43       69.9       70.3        1         66       5086         10
 44      189.8      174.6       14        552       5572         10
 45       39.4      132.8       13        181       5201         10
 46       67.2      121.1       21         42       5062         10
 47       61.2       84.9        9        279       5299         10
 48      140.8      160.3        1        396       5416         10
 49       49.4      128.0        3        106       5126         10
 50      180.8      176.8        2        513       5533         10
