VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1      114.6       29.2       22        115       5135         10
  2       75.8      123.1       12        402       5422         10
  3       71.0      100.1       13         48       5068         10
  4      189.7      159.9       10        216       5236         10
  5      126.2       20.0        2        227       5247         10
  6      169.9       89.2       13        131       5151         10
  7       78.1       61.3       22        131       5151         10
  8      117.1      109.8       15          9       5029         10
  9      134.8       24.1       17        122       5142         10
 10      178.5       12.3       21        333       5353         10
 11      106.1       29.4       11        161       5181         10
 12      150.2       51.3       23        251       5271         10
 13       66.1       96.7       19        161       5181         10
 14       12.1       14.0        7        398       5418         10
 15       53.0       83.6       13        189       5209         10
 16      153.2      115.3       23         90       5110         10
 17       84.9       94.4       14         19       5039         10
 18       26.1      174.2       14        514       5534         10
 19      107.4       25.1       10        146       5166         10
 20       68.4       65.7       15        152       5172         10
 21       59.3      108.9       21         73       5093         10
 22      144.7       95.5       22         58       5078         10
 23      100.7       92.1       14          0       5017         10
 24      174.7       71.4        4        209       5229         10
 25       76.0       91.9        8         49       5069         10
 26       52.8       71.0        7        212       5232         10
 27       71.8       81.4       19         82       5102         10
 28      132.1      171.4        3        285       5305         10
 29      117.0       14.1       10        189       5209         10
 30      187.2       87.9       11        168       5188         10
 31       72.5      109.1        4         18       5038         10
 32      177.3       73.0        7        196       5216         10
 33      103.2       -1.9        1        353       5373         10
 34       50.4      184.1       22        478       5498         10
 35       81.0       94.0       10         33       5053         10
 36       37.5       20.1       19        266       5286         10
 37       94.6       72.9       19         28       5048         10
 38       97.7       96.8       10          0       5013         10
 39      136.8       23.0        9        134       5154         10
 40      150.6       41.6        2        271       5291         10
 41       63.9       90.4       18        133       5153         10
 42      116.5      164.4       21        324       5344         10
 43      140.1       34.4       20        267       5287         10
 44      123.5      126.9       22         37       5057         10
 45       71.7       89.2       11         64       5084         10
 46      134.6       18.8        9        160       5180         10
 47      132.3       10.1       16        273       5293         10
 48      136.3       16.7       15        173       5193         10
 49      141.0       14.7        4        188       5208         10
 50       47.3      114.0        3        125       5145         10
 51       66.2       70.0       18        246       5266         10
 52       90.7       52.4        7         58       5078         10
 53      138.4       10.0       17        203       5223         10
 54      135.0      145.4        7         69       5089         10
 55       86.6       91.1       20          6       5026         10
 56       54.9       13.1       24        237       5257         10
 57      143.8       19.4        4        241       5261         10
 58      122.5       70.7        8        443       5463         10
 59       80.1       62.1       12        119       5139         10
 60      137.8       97.2       22         41       5061         10
 61      131.1        7.8        7        285       5305         10
 62      165.7      138.6        5        174       5194         10
 63      110.9       43.0       10         91       5111         10
 64       68.4      115.0        3         94       5114         10
 65      129.6       17.9        8        254       5274         10
 66       70.4      104.2        4         34       5054         10
 67       90.8       88.6        9         28       5048         10
 68       30.6       31.9        1        362       5382         10
 69      117.5       10.0       10        204       5224         10
 70      127.3       28.6       19         93       5113         10
 71      132.1        5.7       15        297       5317         10
 72      133.1       56.8       15         44       5064         10
 73      112.0       23.5        7        131       5151         10
 74       25.1       84.6        6        299       5319         10
 75      134.0       20.0       25        149       5169         10
 76      131.7       76.1       14        422       5442         10
 77       82.7       84.8       13        103       5123         10
 78      178.6       88.8       17        150       5170         10
 79      140.8        6.1        4        218       5238         10
 80      165.8      160.8       13        142       5162         10
 81      130.1       35.1       17         76       5096         10
 82      118.5      169.5        8        309       5329         10
 83      131.6       27.9       18        107       5127         10
 84       46.5      147.9       14        169       5189         10
 85       64.1       61.8       14        167       5187         10
 86      154.7      159.6       22        104       5124         10
 87       82.2       76.9       12         62       5082         10
 88      151.5       33.0       11        289       5309         10
 89      126.7       22.2        4        239       5259         10
 90       82.0      129.0        5        383       5403         10
 91      115.8       -7.9        9        329       5349         10
 92       64.0       71.0       11        233       5253         10
 93       94.6       80.8        2         85       5105         10
 94      134.1       91.6        1         25       5045         10
 95       87.0       81.8       17         45       5065         10
 96      162.5      153.2       21        124       5144         10
 97       63.6       89.8        3        143       5163         10
 98       64.1       50.2        9        189       5209         10
 99       96.0       88.1        8         12       5032         10
100       34.6       14.1       14        283       5303         10
