VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1       54.7      109.8       23         46        126         10
  2       67.3       84.9       10         26        106         10
  3       45.9       62.7        5        276        356         10
  4       36.3       72.9       24        185        265         10
  5       27.8      110.5       19        128        208         10
  6       46.0       49.4        3        311        391         10
  7       31.6      116.2       23        111        191         10
  8       42.8       72.4       16        201        281         10
  9       23.9       91.9       16        152        232         10
 10       31.8      127.0        5        208        288         10
 11       37.2       40.0       20        274        354         10
 12       27.7       40.2        7        352        432         10
 13       38.2      115.0       16         83        163         10
 14       43.9       96.2       21         83        163         10
 15       70.1       51.6       12        207        287         10
 16       80.0       62.3        4        313        393         10
 17       43.8       79.0       18        218        298         10
 18       49.4       53.2       12        296        376         10
 19       18.1      108.9        6        148        228         10
 20       55.1       63.6        5        257        337         10
 21       63.0      107.3       19         27        107         10
 22       62.0       43.7        1        175        255         10
 23       49.0       89.8        5         65        145         10
 24       39.6       98.9        1        114        194         10
 25       37.4      100.0       13        126        206         10
 26       40.3      115.4       16         71        151         10
 27       43.2      101.9        1         56        136         10
 28       60.6       57.3       15         95        175         10
 29       18.1      108.4       23        116        196         10
 30       50.5       29.0       14        247        327         10
 31       49.7       89.4       12         54        134         10
 32       66.2       58.6       22         65        145         10
 33       26.5      102.1        8         96        176         10
 34       63.8       54.3        5         80        160         10
 35       52.1       67.0       11        242        322         10
 36       63.9       46.6       23        189        269         10
 37       40.2       92.8        6         98        178         10
 38       53.3       51.6        9        139        219         10
 39       41.8      105.4       25         70        150         10
 40       35.4      129.4        9        223        303         10
 41       56.6       41.8       17        159        239         10
 42       54.1       55.5       16        125        205         10
 43       31.2       42.8       14        338        418         10
 44       37.4      106.5       11        177        257         10
 45       59.3       53.0        1        109        189         10
 46       73.6       56.4       12        332        412         10
 47       72.7       59.6       23         49        129         10
 48       76.5       70.6       18         27        107         10
 49       36.4      113.7       17         96        176         10
 50       48.1      101.9        7         41        121         10
